deck,deck_label,deck_title,deck_order,section,no,word,phonetic,word_family,meaning,example,tone,memory,deriv,syn,ant,similar
book,词书,GRE1400 词书,1,Section 1（1-140）,1,abate,/əˈbeɪt/,abate（v. 减轻；减少）→ abatement（n. 减轻；减少）,v.减轻，减少,the storm abated｜暴风雨减弱了,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,2,abbreviate,/əˈbriːviːˌeɪt/,abbreviate（v. 缩写；缩短）→ abbreviation（n. 缩写；缩略形式）,v.缩写，缩短,abbreviate the phrase｜缩写这个短语,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,3,aberrant,/æˈbɛrənt/,aberrant（adj. 异常的；反常的）→ aberration（n. 异常；偏离常态）,adj.异常的，反常的,aberrant behavior｜反常行为,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,4,abet,/əˈbɛt/,abet（v. 教唆；协助）→ abettor（n. 教唆者；从犯）,v.教唆，煽动，协助,abet a crime｜教唆犯罪,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,5,abeyance,/əˈbeɪəns/,abeyance（n. 中止，暂缓）,n.中止，暂缓,hold the plan in abeyance｜暂缓这个计划,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,6,abnegate,/ˈæbnɪɡeɪt/,abnegate（v. 放弃；克制）→ abnegation（n. 放弃；克制）,v.放弃，克制,abnegate desire｜克制欲望,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,7,abound,/əˈbaʊnd/,abound（v. 大量存在）→ abundant（adj. 丰富的）→ abundance（n. 丰富；大量）,v.大量存在；富于,rumors abound｜谣言大量存在,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,8,abridge,/əˈbrɪdʒ/,abridge（v. 缩短；删节）→ abridgment（n. 删节；缩短）,v.删减，缩短,abridge the novel｜删减这部小说,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,9,absolute,/ˈæbsəˌluːt/,absolute（adj. 绝对的；完全的；专制的）,adj.绝对的；完全的；专制的,absolute power｜绝对权力,贬义-人品/态度,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,10,absolve,/əˈbzɑlv/; /æˈbzɑlv/,absolve（v. 免除责任；赦免）→ absolution（n. 赦免；免除责任）,v.免除，赦免；宣告无罪,absolve him of blame｜免除他的责任,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,11,abstemious,/æbˈstiːmiəs/,abstemious（adj. (饮食等方面)有节制的；节俭的）,adj. (饮食等方面)有节制的；节俭的,an abstemious lifestyle｜节制的生活方式,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,12,abstinence,/ˈæbstənəns/,abstain（v. 戒绝；避免）→ abstinence（n. 节制；戒绝）,n.节制，禁欲,practice abstinence｜实行节制/禁欲,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,13,abstract,/æˈbstrækt/; /ˈæˌbstrækt/,abstract（adj. 抽象的；v. 提取）→ abstraction（n. 抽象；抽象概念）,adj.抽象的；n.摘要；v.提取，概括,abstract ideas｜抽象概念,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,14,abstruse,/əˈbstruːs/,abstruse（adj. 难理解的）,adj.难理解的,an abstruse theory｜深奥难懂的理论,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,15,absurd,/əˈbsɝd/,absurd（adj. 荒谬的）→ absurdity（n. 荒谬）,adj.荒谬的，荒唐的,an absurd argument｜荒谬的论点,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,16,abundance,/əˈbʌndəns/,abound（v. 大量存在）→ abundant（adj. 丰富的）→ abundance（n. 丰富；大量）,n.大量,an abundance of evidence｜大量证据,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,17,abuse,/əˈbjuːs/; /əˈbjuːz/,abuse（n. 滥用；虐待；恶习；v.滥用；虐待）,n.滥用；虐待；恶习；v.滥用；虐待,abuse of power｜滥用权力,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,18,abut,/əˈbʌt/,abut（v. 邻接，毗邻）,v.邻接，毗邻,abut the river｜毗邻河流,中性-逻辑/结构,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,19,abysmal,/əˈbɪzməl/,abysmal（adj. 极坏的，糟糕的）,adj.极坏的，糟糕的,an abysmal failure｜极糟糕的失败,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,20,abyss,/əˈbɪs/,abyss（n. 深渊，危险的处境）,n.深渊，危险的处境,a case of abyss｜一个关于深渊，危险的处境的例子,贬义-伤害/破坏,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,21,accede,/æˈksiːd/,accede（v. 同意；加入）,v.同意；加入,accede to the request｜同意这个请求,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,22,accelerate,/æˈksɛlɚˌeɪt/,accelerate（v. 加速，促进）→ acceleration（n. 加速，促进）,v.加速，促进,accelerate growth｜加速增长,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,23,accent,/əˈksɛnt/; /ˈæˌksɛnt/,accent（v. 强调）,v.强调,a regional accent｜地方口音,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,24,accentuate,/æˈksɛntʃuːeɪt/,accentuate（v. 强调）→ accentuation（n. 强调）,v.强调,accentuate the difference｜强调差异,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,25,accept,/æˈksɛpt/; /əˈksɛpt/,accept（v. 接受；同意；承认）,v.接受；同意；承认,accept the proposal｜接受建议,中性-动作/状态,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,26,accessible,/æˈksɛsəbəl/,access（n./v. 接近；进入）→ accessible（adj. 可进入的；易懂的）→ accessibility（n. 可达性；易懂性）,adj.可进入的；易理解的；可得到的,accessible information｜容易获得的信息,褒义-聪明/优秀,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,27,accession,/əˈksɛʃən/,accede（v. 同意；即位）→ accession（n. 即位；加入）,n.就职；增加,accession to the throne｜登基/继承王位,中性-程度/数量,,,,,
book,词书,GRE1400 词书,1,Section 1（1-140）,28,accessory,/æˈksɛsɚiː/,accessory（adj. 辅助的，附属的；n.帮凶）,adj.辅助的，附属的；n.帮凶,an accessory to the crime｜犯罪从犯,贬义-伤害/破坏,,,,,
